;v0.3.135e10_exEcai-3ag_ECAI_Clique_3All
Theory redundancy (avg) ;1.6999999999999997;
Theory redundancy (stddev) ;2.220446049250313E-16;
Theory redundancy (min) ;1.7;
Theory redundancy (max) ;1.7;
Manifestations redundancy (avg) ;3.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;3.0;
Manifestations redundancy (max) ;3.0;
Nb of Total number of external subsumes (avg) ;8139.6;
Nb of Total number of external subsumes (stddev) ;1.4966629547095764;
Nb of Total number of external subsumes (min) ;8136;
Nb of Total number of external subsumes (max) ;8141;
Total size of Total number of external subsumes (avg) ;18391.8;
Total size of Total number of external subsumes (stddev) ;9.88736567544662;
Total size of Total number of external subsumes (min) ;18377;
Total size of Total number of external subsumes (max) ;18407;
Max size of Total number of external subsumes (avg) ;6.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;6;
Max size of Total number of external subsumes (max) ;6;
Min size of Total number of external subsumes (avg) ;0.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;0;
Min size of Total number of external subsumes (max) ;0;
Product of nb of solve step (avg) ;1086135.0;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;1086135;
Product of nb of solve step (max) ;1086135;
Product of total size of solve step (avg) ;5.810751E8;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;581075100;
Product of total size of solve step (max) ;581075100;
Product of max size of solve step (avg) ;23125.0;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;23125;
Product of max size of solve step (max) ;23125;
Product of min size of solve step (avg) ;8.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;8;
Product of min size of solve step (max) ;8;
Max of nb of solve step (avg) ;111.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;111;
Max of nb of solve step (max) ;111;
Max of total size of solve step (avg) ;940.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;940;
Max of total size of solve step (max) ;940;
Max of max size of solve step (avg) ;37.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;37;
Max of max size of solve step (max) ;37;
Max of min size of solve step (avg) ;2.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;2;
Max of min size of solve step (max) ;2;
Min of nb of solve step (avg) ;95.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;95;
Min of nb of solve step (max) ;95;
Min of total size of solve step (avg) ;723.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;723;
Min of total size of solve step (max) ;723;
Min of max size of solve step (avg) ;25.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;25;
Min of max size of solve step (max) ;25;
Min of min size of solve step (avg) ;2.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;2;
Min of min size of solve step (max) ;2;
Sum of nb of solve step (avg) ;309.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;309;
Sum of nb of solve step (max) ;309;
Sum of total size of solve step (avg) ;2518.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;2518;
Sum of total size of solve step (max) ;2518;
Sum of max size of solve step (avg) ;87.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;87;
Sum of max size of solve step (max) ;87;
Sum of min size of solve step (avg) ;6.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;6;
Sum of min size of solve step (max) ;6;
Average of nb of solve step (avg) ;103.0;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;103.0;
Average of nb of solve step (max) ;103.0;
Average of total size of solve step (avg) ;839.3333333333333;
Average of total size of solve step (stddev) ;1.1368683772161603E-13;
Average of total size of solve step (min) ;839.3333333333334;
Average of total size of solve step (max) ;839.3333333333334;
Average of max size of solve step (avg) ;29.0;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;29.0;
Average of max size of solve step (max) ;29.0;
Average of min size of solve step (avg) ;2.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;2.0;
Average of min size of solve step (max) ;2.0;
Standard deviation of nb of solve step (avg) ;6.531972647421808;
