;v0.3.136e1_DAREschedule_ECAI-CL_DARE_8All
Theory redundancy (avg) ;1.7692307692307692;
Theory redundancy (stddev) ;0.0;
Theory redundancy (min) ;1.7692307692307692;
Theory redundancy (max) ;1.7692307692307692;
Manifestations redundancy (avg) ;8.0;
Manifestations redundancy (stddev) ;0.0;
Manifestations redundancy (min) ;8.0;
Manifestations redundancy (max) ;8.0;
Nb of Total number of external subsumes (avg) ;62434.0;
Nb of Total number of external subsumes (stddev) ;0.0;
Nb of Total number of external subsumes (min) ;62434;
Nb of Total number of external subsumes (max) ;62434;
Total size of Total number of external subsumes (avg) ;149308.0;
Total size of Total number of external subsumes (stddev) ;0.0;
Total size of Total number of external subsumes (min) ;149308;
Total size of Total number of external subsumes (max) ;149308;
Max size of Total number of external subsumes (avg) ;10.0;
Max size of Total number of external subsumes (stddev) ;0.0;
Max size of Total number of external subsumes (min) ;10;
Max size of Total number of external subsumes (max) ;10;
Min size of Total number of external subsumes (avg) ;2.0;
Min size of Total number of external subsumes (stddev) ;0.0;
Min size of Total number of external subsumes (min) ;2;
Min size of Total number of external subsumes (max) ;2;
Product of nb of solve step (avg) ;4.36373725788E14;
Product of nb of solve step (stddev) ;0.0;
Product of nb of solve step (min) ;436373725788000;
Product of nb of solve step (max) ;436373725788000;
Product of total size of solve step (avg) ;8.1218433217220649E18;
Product of total size of solve step (stddev) ;0.0;
Product of total size of solve step (min) ;8121843321722064896;
Product of total size of solve step (max) ;8121843321722064896;
Product of max size of solve step (avg) ;4.362688512E11;
Product of max size of solve step (stddev) ;0.0;
Product of max size of solve step (min) ;436268851200;
Product of max size of solve step (max) ;436268851200;
Product of min size of solve step (avg) ;6561.0;
Product of min size of solve step (stddev) ;0.0;
Product of min size of solve step (min) ;6561;
Product of min size of solve step (max) ;6561;
Max of nb of solve step (avg) ;250.0;
Max of nb of solve step (stddev) ;0.0;
Max of nb of solve step (min) ;250;
Max of nb of solve step (max) ;250;
Max of total size of solve step (avg) ;4026.0;
Max of total size of solve step (stddev) ;0.0;
Max of total size of solve step (min) ;4026;
Max of total size of solve step (max) ;4026;
Max of max size of solve step (avg) ;42.0;
Max of max size of solve step (stddev) ;0.0;
Max of max size of solve step (min) ;42;
Max of max size of solve step (max) ;42;
Max of min size of solve step (avg) ;3.0;
Max of min size of solve step (stddev) ;0.0;
Max of min size of solve step (min) ;3;
Max of min size of solve step (max) ;3;
Min of nb of solve step (avg) ;13.0;
Min of nb of solve step (stddev) ;0.0;
Min of nb of solve step (min) ;13;
Min of nb of solve step (max) ;13;
Min of total size of solve step (avg) ;100.0;
Min of total size of solve step (stddev) ;0.0;
Min of total size of solve step (min) ;100;
Min of total size of solve step (max) ;100;
Min of max size of solve step (avg) ;16.0;
Min of max size of solve step (stddev) ;0.0;
Min of max size of solve step (min) ;16;
Min of max size of solve step (max) ;16;
Min of min size of solve step (avg) ;3.0;
Min of min size of solve step (stddev) ;0.0;
Min of min size of solve step (min) ;3;
Min of min size of solve step (max) ;3;
Sum of nb of solve step (avg) ;773.0;
Sum of nb of solve step (stddev) ;0.0;
Sum of nb of solve step (min) ;773;
Sum of nb of solve step (max) ;773;
Sum of total size of solve step (avg) ;9265.0;
Sum of total size of solve step (stddev) ;0.0;
Sum of total size of solve step (min) ;9265;
Sum of total size of solve step (max) ;9265;
Sum of max size of solve step (avg) ;241.0;
Sum of max size of solve step (stddev) ;0.0;
Sum of max size of solve step (min) ;241;
Sum of max size of solve step (max) ;241;
Sum of min size of solve step (avg) ;24.0;
Sum of min size of solve step (stddev) ;0.0;
Sum of min size of solve step (min) ;24;
Sum of min size of solve step (max) ;24;
Average of nb of solve step (avg) ;96.625;
Average of nb of solve step (stddev) ;0.0;
Average of nb of solve step (min) ;96.625;
Average of nb of solve step (max) ;96.625;
Average of total size of solve step (avg) ;1158.125;
Average of total size of solve step (stddev) ;0.0;
Average of total size of solve step (min) ;1158.125;
Average of total size of solve step (max) ;1158.125;
Average of max size of solve step (avg) ;30.125;
Average of max size of solve step (stddev) ;0.0;
Average of max size of solve step (min) ;30.125;
Average of max size of solve step (max) ;30.125;
Average of min size of solve step (avg) ;3.0;
Average of min size of solve step (stddev) ;0.0;
Average of min size of solve step (min) ;3.0;
Average of min size of solve step (max) ;3.0;
Standard deviation of nb of solve step (avg) ;68.38299770410771;
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;68.38299770410771;
Standard deviation of nb of solve step (max) ;68.38299770410771;
Standard deviation of total size of solve step (avg) ;1149.5758388966776;
Standard deviation of total size of solve step (stddev) ;0.0;
Standard deviation of total size of solve step (min) ;1149.5758388966776;
Standard deviation of total size of solve step (max) ;1149.5758388966776;
Standard deviation of max size of solve step (avg) ;9.006074339022524;
Standard deviation of max size of solve step (stddev) ;0.0;
Standard deviation of max size of solve step (min) ;9.006074339022524;
Standard deviation of max size of solve step (max) ;9.006074339022524;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
